# Layer 2 (Die attach) 열화 예제, 열화배율 2.5
# P=10 W, T0=25 degC, step heating, noise sigma=0.002 degC
# Rth_total=0.85769 K/W
time_s,temperature_C,delta_temperature_C,Zth_K_per_W
1.000000e-7,24.998577,-0.0014229289,-1.422929e-4
1.063545e-7,25.002411,0.0024113845,2.411385e-4
1.131128e-7,24.998766,-0.0012343786,-1.234379e-4
1.203005e-7,25.000934,9.335750e-4,9.335750e-5
1.279450e-7,24.998414,-0.0015858852,-1.585885e-4
1.360753e-7,24.999151,-8.489488e-4,-8.489488e-5
1.447222e-7,24.999922,-7.778357e-5,-7.778357e-6
1.539186e-7,25.002383,0.0023831862,2.383186e-4
1.636993e-7,25.004971,0.0049705648,4.970565e-4
1.741016e-7,25.000868,8.684554e-4,8.684554e-5
1.851648e-7,25.00313,0.0031297541,3.129754e-4
1.969311e-7,24.998906,-0.0010942999,-1.094300e-4
2.094451e-7,25.001047,0.0010473905,1.047391e-4
2.227543e-7,24.999741,-2.588451e-4,-2.588451e-5
2.369092e-7,25.000609,6.088729e-4,6.088729e-5
2.519636e-7,25.004149,0.004148757,4.148757e-4
2.679746e-7,25.003547,0.0035472578,3.547258e-4
2.850030e-7,25.002924,0.0029243219,2.924322e-4
3.031136e-7,25.00382,0.0038204594,3.820459e-4
3.223749e-7,25.003706,0.003705703,3.705703e-4
3.428602e-7,24.998075,-0.0019245653,-1.924565e-4
3.646472e-7,24.996343,-0.0036574474,-3.657447e-4
3.878187e-7,25.000175,1.747635e-4,1.747635e-5
4.124626e-7,25.002415,0.002415242,2.415242e-4
4.386726e-7,25.005229,0.0052291487,5.229149e-4
4.665480e-7,25.000018,1.768019e-5,1.768019e-6
4.961948e-7,25.000963,9.634275e-4,9.634275e-5
5.277254e-7,25.003109,0.0031091356,3.109136e-4
5.612597e-7,25.000841,8.412783e-4,8.412783e-5
5.969250e-7,24.997776,-0.0022238847,-2.223885e-4
6.348565e-7,25.000515,5.147755e-4,5.147755e-5
6.751985e-7,25.003745,0.0037451612,3.745161e-4
7.181039e-7,25.001924,0.0019237843,1.923784e-4
7.637358e-7,25.002666,0.0026661252,2.666125e-4
8.122674e-7,25.000442,4.416951e-4,4.416951e-5
8.638828e-7,25.001362,0.0013622481,1.362248e-4
9.187782e-7,25.001347,0.0013470812,1.347081e-4
9.771620e-7,25.00111,0.0011098506,1.109851e-4
1.039256e-6,25.006593,0.0065931658,6.593166e-4
1.105295e-6,25.004525,0.0045252318,4.525232e-4
1.175531e-6,25.002316,0.0023164255,2.316425e-4
1.250230e-6,25.004877,0.0048766954,4.876695e-4
1.329676e-6,25.003935,0.0039348224,3.934822e-4
1.414170e-6,25.004083,0.004083438,4.083438e-4
1.504034e-6,25.006663,0.0066634342,6.663434e-4
1.599607e-6,25.00552,0.0055202756,5.520276e-4
1.701254e-6,25.005574,0.005573878,5.573878e-4
1.809360e-6,25.005152,0.0051524117,5.152412e-4
1.924336e-6,25.004875,0.004875117,4.875117e-4
2.046618e-6,25.008268,0.0082681935,8.268193e-4
2.176670e-6,25.00824,0.0082395587,8.239559e-4
2.314987e-6,25.004364,0.0043638659,4.363866e-4
2.462092e-6,25.003649,0.0036490083,3.649008e-4
2.618546e-6,25.009485,0.0094848281,9.484828e-4
2.784941e-6,25.008309,0.0083092279,8.309228e-4
2.961910e-6,25.006717,0.0067172944,6.717294e-4
3.150125e-6,25.009383,0.0093825993,9.382599e-4
3.350299e-6,25.007428,0.0074275692,7.427569e-4
3.563194e-6,25.007875,0.0078745835,7.874584e-4
3.789617e-6,25.005702,0.0057016317,5.701632e-4
4.030428e-6,25.003839,0.0038385173,3.838517e-4
4.286541e-6,25.007694,0.0076937185,7.693718e-4
4.558929e-6,25.011178,0.011177767,0.0011177767
4.848626e-6,25.008185,0.008184827,8.184827e-4
5.156732e-6,25.007318,0.007318104,7.318104e-4
5.484417e-6,25.011714,0.011714379,0.0011714379
5.832924e-6,25.015793,0.015793276,0.0015793276
6.203576e-6,25.015522,0.015521587,0.0015521587
6.597782e-6,25.013009,0.013008922,0.0013008922
7.017038e-6,25.013442,0.013441624,0.0013441624
7.462936e-6,25.012495,0.012495129,0.0012495129
7.937168e-6,25.011102,0.011101801,0.0011101801
8.441535e-6,25.014764,0.0147637,0.00147637
8.977952e-6,25.016277,0.016277302,0.0016277302
9.548455e-6,25.018819,0.018818569,0.0018818569
1.015521e-5,25.017043,0.017043136,0.0017043136
1.080052e-5,25.020046,0.020046345,0.0020046345
1.148684e-5,25.018338,0.018338296,0.0018338296
1.221677e-5,25.023908,0.023907668,0.0023907668
1.299309e-5,25.021174,0.021174107,0.0021174107
1.381873e-5,25.020699,0.020698955,0.0020698955
1.469684e-5,25.022823,0.022823141,0.0022823141
1.563075e-5,25.024865,0.024864694,0.0024864694
1.662401e-5,25.026036,0.026036443,0.0026036443
1.768038e-5,25.026506,0.026506305,0.0026506305
1.880388e-5,25.022779,0.0227795,0.00227795
