# 정상 패키지 과도 열응답 예제 (1D 5층 모델)
# P=10 W, T0=25 degC, step heating, noise sigma=0.002 degC
# Rth_total=0.60769 K/W
time_s,temperature_C,delta_temperature_C,Zth_K_per_W
1.000000e-7,24.999534,-4.655106e-4,-4.655106e-5
1.063545e-7,25.001434,0.0014336677,1.433668e-4
1.131128e-7,25.00482,0.0048203265,4.820327e-4
1.203005e-7,25.000062,6.175030e-5,6.175030e-6
1.279450e-7,25.000459,4.591882e-4,4.591882e-5
1.360753e-7,24.998395,-0.0016052383,-1.605238e-4
1.447222e-7,24.999921,-7.898830e-5,-7.898830e-6
1.539186e-7,24.997373,-0.002626825,-2.626825e-4
1.636993e-7,25.002279,0.0022788075,2.278808e-4
1.741016e-7,24.9967,-0.003300137,-3.300137e-4
1.851648e-7,25.002408,0.0024084201,2.408420e-4
1.969311e-7,25.002121,0.0021214829,2.121483e-4
2.094451e-7,25.000159,1.588028e-4,1.588028e-5
2.227543e-7,25.000235,2.345299e-4,2.345299e-5
2.369092e-7,24.999171,-8.288338e-4,-8.288338e-5
2.519636e-7,25.000784,7.837349e-4,7.837349e-5
2.679746e-7,25.003587,0.0035869768,3.586977e-4
2.850030e-7,24.999737,-2.627000e-4,-2.627000e-5
3.031136e-7,24.999003,-9.965397e-4,-9.965397e-5
3.223749e-7,24.995899,-0.0041007966,-4.100797e-4
3.428602e-7,24.999096,-9.040503e-4,-9.040503e-5
3.646472e-7,25.002268,0.0022680705,2.268070e-4
3.878187e-7,25.000009,8.639659e-6,8.639659e-7
4.124626e-7,25.002722,0.0027223488,2.722349e-4
4.386726e-7,25.00428,0.0042800558,4.280056e-4
4.665480e-7,25.001935,0.0019348755,1.934876e-4
4.961948e-7,25.003871,0.0038712121,3.871212e-4
5.277254e-7,25.001094,0.0010936914,1.093691e-4
5.612597e-7,25.000315,3.153778e-4,3.153778e-5
5.969250e-7,25.001477,0.0014772408,1.477241e-4
6.348565e-7,25.003424,0.0034241131,3.424113e-4
6.751985e-7,25.001452,0.001451504,1.451504e-4
7.181039e-7,25.004608,0.0046076182,4.607618e-4
7.637358e-7,25.005449,0.0054494817,5.449482e-4
8.122674e-7,25.001328,0.0013283563,1.328356e-4
8.638828e-7,25.004244,0.0042435328,4.243533e-4
9.187782e-7,25.004739,0.0047386874,4.738687e-4
9.771620e-7,25.002334,0.0023340165,2.334016e-4
1.039256e-6,24.999682,-3.176765e-4,-3.176765e-5
1.105295e-6,25.000776,7.756955e-4,7.756955e-5
1.175531e-6,25.004134,0.0041344875,4.134488e-4
1.250230e-6,25.005243,0.0052433026,5.243303e-4
1.329676e-6,25.004995,0.0049954654,4.995465e-4
1.414170e-6,25.003992,0.003992327,3.992327e-4
1.504034e-6,25.002584,0.0025840549,2.584055e-4
1.599607e-6,25.003619,0.0036194153,3.619415e-4
1.701254e-6,25.003297,0.003296811,3.296811e-4
1.809360e-6,25.005557,0.0055566555,5.556656e-4
1.924336e-6,25.004667,0.0046672708,4.667271e-4
2.046618e-6,25.003735,0.0037350042,3.735004e-4
2.176670e-6,25.007699,0.0076991236,7.699124e-4
2.314987e-6,25.006461,0.0064605273,6.460527e-4
2.462092e-6,25.006939,0.0069385161,6.938516e-4
2.618546e-6,25.007389,0.0073888292,7.388829e-4
2.784941e-6,25.004817,0.0048166469,4.816647e-4
2.961910e-6,25.006862,0.0068620349,6.862035e-4
3.150125e-6,25.009617,0.0096174512,9.617451e-4
3.350299e-6,25.005675,0.0056745671,5.674567e-4
3.563194e-6,25.010718,0.010718355,0.0010718355
3.789617e-6,25.008937,0.0089368621,8.936862e-4
4.030428e-6,25.012332,0.01233226,0.001233226
4.286541e-6,25.007167,0.007166987,7.166987e-4
4.558929e-6,25.008736,0.0087359291,8.735929e-4
4.848626e-6,25.009771,0.0097710729,9.771073e-4
5.156732e-6,25.01078,0.010779729,0.0010779729
5.484417e-6,25.013602,0.013601625,0.0013601625
5.832924e-6,25.015738,0.015737579,0.0015737579
6.203576e-6,25.012121,0.012120569,0.0012120569
6.597782e-6,25.011058,0.011057539,0.0011057539
7.017038e-6,25.016356,0.016356485,0.0016356485
7.462936e-6,25.012083,0.012083172,0.0012083172
7.937168e-6,25.018267,0.018267159,0.0018267159
8.441535e-6,25.017028,0.017027968,0.0017027968
8.977952e-6,25.015165,0.015165425,0.0015165425
9.548455e-6,25.0189,0.018899648,0.0018899648
1.015521e-5,25.016754,0.016754233,0.0016754233
1.080052e-5,25.018005,0.018004614,0.0018004614
1.148684e-5,25.017816,0.017816069,0.0017816069
1.221677e-5,25.018234,0.018233962,0.0018233962
1.299309e-5,25.018232,0.018232128,0.0018232128
1.381873e-5,25.02017,0.020170061,0.0020170061
1.469684e-5,25.022249,0.022248632,0.0022248632
1.563075e-5,25.022941,0.022940946,0.0022940946
1.662401e-5,25.024952,0.024952443,0.0024952443
1.768038e-5,25.024274,0.024273813,0.0024273813
1.880388e-5,25.02167,0.021670129,0.0021670129
1.999877e-5,25.024752,0.024751529,0.0024751529
2.126959e-5,25.02982,0.029819881,0.0029819881
2.262117e-5,25.029536,0.029535702,0.0029535702
2.405863e-5,25.031102,0.03110211,0.003110211
2.558744e-5,25.029892,0.029891837,0.0029891837
2.721339e-5,25.033219,0.033218771,0.0033218771
2.894266e-5,25.037049,0.037048697,0.0037048697
3.078182e-5,25.035522,0.03552177,0.003552177
3.273785e-5,25.03801,0.038009922,0.0038009922
3.481818e-5,25.037048,0.037048452,0.0037048452
3.703070e-5,25.040335,0.040334778,0.0040334778
3.938381e-5,25.041039,0.041038965,0.0041038965
4.188645e-5,25.043473,0.043472582,0.0043472582
4.454813e-5,25.042786,0.042785567,0.0042785567
4.737893e-5,25.048227,0.048227002,0.0048227002
5.038963e-5,25.052046,0.05204645,0.005204645
5.359163e-5,25.049486,0.049486001,0.0049486001
5.699711e-5,25.049206,0.049205794,0.0049205794
6.061899e-5,25.0507,0.050700083,0.0050700083
6.447102e-5,25.05744,0.057440454,0.0057440454
6.856783e-5,25.058426,0.058425621,0.0058425621
7.292497e-5,25.061385,0.0613847,0.00613847
7.755898e-5,25.061427,0.061426833,0.0061426833
8.248747e-5,25.063153,0.06315323,0.006315323
8.772913e-5,25.063596,0.06359624,0.006359624
9.330387e-5,25.065921,0.065920999,0.0065920999
9.923286e-5,25.068072,0.068071991,0.0068071991
1.055386e-4,25.071839,0.071838929,0.0071838929
1.122451e-4,25.075755,0.075754552,0.0075754552
1.193777e-4,25.072986,0.072986444,0.0072986444
1.269635e-4,25.077501,0.077500851,0.0077500851
1.350314e-4,25.08348,0.083480061,0.0083480061
1.436120e-4,25.086665,0.086665024,0.0086665024
1.527378e-4,25.087663,0.087662524,0.0087662524
1.624435e-4,25.092022,0.092021936,0.0092021936
1.727660e-4,25.098208,0.098208145,0.0098208145
1.837444e-4,25.098768,0.098767511,0.0098767511
1.954204e-4,25.100212,0.10021189,0.010021189
2.078384e-4,25.105604,0.10560353,0.010560353
2.210455e-4,25.106324,0.10632448,0.010632448
2.350918e-4,25.113303,0.11330285,0.011330285
2.500307e-4,25.12024,0.12024044,0.012024044
2.659189e-4,25.124631,0.1246313,0.01246313
2.828167e-4,25.130096,0.13009632,0.013009632
3.007883e-4,25.131079,0.13107923,0.013107923
3.199018e-4,25.137821,0.13782133,0.013782133
3.402300e-4,25.145971,0.14597114,0.014597114
3.618499e-4,25.151532,0.15153219,0.015153219
3.848436e-4,25.159117,0.15911738,0.015911738
4.092985e-4,25.165171,0.16517062,0.016517062
4.353073e-4,25.170168,0.17016809,0.017016809
4.629689e-4,25.182113,0.18211335,0.018211335
4.923883e-4,25.188516,0.18851642,0.018851642
5.236771e-4,25.192994,0.19299447,0.019299447
5.569541e-4,25.203068,0.20306787,0.020306787
5.923457e-4,25.216513,0.21651271,0.021651271
6.299863e-4,25.221453,0.22145337,0.022145337
6.700188e-4,25.236884,0.23688427,0.023688427
7.125951e-4,25.246323,0.24632296,0.024632296
7.578769e-4,25.257142,0.25714218,0.025714218
8.060361e-4,25.272216,0.27221559,0.027221559
8.572557e-4,25.284796,0.28479598,0.028479598
9.117299e-4,25.301424,0.30142432,0.030142432
9.696658e-4,25.310642,0.31064162,0.031064162
0.0010312832,25.328255,0.32825548,0.032825548
0.001096816,25.343808,0.34380816,0.034380816
0.0011665131,25.361346,0.36134558,0.036134558
0.0012406392,25.380799,0.38079944,0.038079944
0.0013194755,25.396703,0.39670265,0.039670265
0.0014033215,25.42227,0.42226993,0.042226993
